league,season,team,player,nation,pos,age,born,90s,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"DF,FW",31.0,1992.0,1.1,,,,,,,4,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28.0,1996.0,1.0,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Joel Ward,ENG,DF,34.0,1989.0,0.8,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32.0,1991.0,0.2,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,20.0,2003.0,5.6,,,,,,,18,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24.0,2000.0,34.0,,,,,,,13,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Matheus França,BRA,FW,20.0,2004.0,0.6,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24.0,2000.0,34.6,,,,,,,7,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33.0,1991.0,5.4,,,,,,,7,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,MF,26.0,1998.0,1.3,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Romain Esse,ENG,MF,19.0,2005.0,1.5,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25.0,1999.0,11.8,,,,,,,7,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,MF,24.0,1999.0,34.4,,,,,,,107,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29.0,1995.0,23.4,,,,,,,70,,,,,,,,
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31.0,1993.0,28.5,,,,,,,23,,,,,,,,
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,22.0,2001.0,3.7,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39.0,1985.0,20.8,,,,,,,75,,,,,,,,
